ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,30.762,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,30.5,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,29.883,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,30.448,
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,cf2223,29.642,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,30.283,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,30.614,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,29.856,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,30.588,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,29.969,
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,cf2223,29.89,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,30.242,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,30.667,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,31.313,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,30.621,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,31.35,
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,29.997,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,30.304,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,30.412,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,32.227,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,30.899,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,30.438,
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,31.394,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,30.38,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,30.494,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,29.93,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,31.607,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,30.608,
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,31.552,
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,30.738,
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,29.992,
