"","CT1","CT2","Gene","ASO","Dose","treatment","Sample.Name","mean_CT","dCT","ddCT","fc"
"59",31.798,30.947,"CFTR"," 478-494 + 523",120,"120 nM (60 pmol) 478-494 + 523","exp19-24",31.3725,8.893,-2.21116666666667,4.63049577291085
"60",34.077,33.082,"CFTR"," 478-494 + 523",120,"120 nM (60 pmol) 478-494 + 523","exp19-24",33.5795,11.0445,-0.0596666666666703,1.04222492792999
"61",32.822,32.121,"CFTR"," 478-494 + 524",120,"120 nM (60 pmol) 478-494 + 524","exp19-24",32.4715,9.77,-1.33416666666666,2.52129803811317
"62",32.796,31.905,"CFTR"," 478-494 + 524",120,"120 nM (60 pmol) 478-494 + 524","exp19-24",32.3505,9.505,-1.59916666666667,3.02968261419813
"63",31.413,32.599,"CFTR"," 478-494 + 524",120,"120 nM (60 pmol) 478-494 + 524","exp19-24",32.006,9.36,-1.74416666666667,3.35001293635035
"64",32.757,33.605,"CFTR"," 478-494 + 525",120,"120 nM (60 pmol) 478-494 + 525","exp19-24",33.181,10.1585,-0.94566666666667,1.92607871794814
"65",32.594,32.794,"CFTR"," 478-494 + 525",120,"120 nM (60 pmol) 478-494 + 525","exp19-24",32.694,10.0765,-1.02766666666666,2.0387242662492
"66",32.05,31.101,"CFTR"," 478-494 + 525",120,"120 nM (60 pmol) 478-494 + 525","exp19-24",31.5755,9.2775,-1.82666666666667,3.54716555665277
"67",32.621,31.978,"CFTR"," 478-494 + 526",120,"120 nM (60 pmol) 478-494 + 526","exp19-24",32.2995,9.448,-1.65616666666667,3.15177963102733
"68",32.022,31.548,"CFTR"," 478-494 + 526",120,"120 nM (60 pmol) 478-494 + 526","exp19-24",31.785,9.543,-1.56116666666667,2.95092379856022
"69",32.15,31.813,"CFTR"," 478-494 + 526",120,"120 nM (60 pmol) 478-494 + 526","exp19-24",31.9815,9.5835,-1.52066666666667,2.86923605832761
"70",31.706,32.893,"CFTR"," 478-494 ",120,"120 nM (60 pmol) 478-494 ","exp19-24",32.2995,9.544,-1.56016666666667,2.94887908277555
"71",32.512,32.392,"CFTR"," 478-494 ",120,"120 nM (60 pmol) 478-494 ","exp19-24",32.452,9.566,-1.53816666666667,2.90425205278225
"72",32.332,31.734,"CFTR"," 478-494 ",120,"120 nM (60 pmol) 478-494 ","exp19-24",32.033,9.3415,-1.76266666666666,3.39324750959653
