ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,31.101,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,32.621,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,31.978,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,32.022,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,31.548,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,32.15,
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,31.813,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,31.706,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,32.893,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,32.512,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,32.392,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,32.332,
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,31.734,
NT,0,NT,exp19-24,rpl32,21.908,
NT,0,NT,exp19-24,rpl32,22.031,
NT,0,NT,exp19-24,rpl32,21.999,
NT,0,NT,exp19-24,rpl32,22.133,
NT,0,NT,exp19-24,rpl32,21.924,
NT,0,NT,exp19-24,rpl32,21.964,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.438,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.543,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.355,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.855,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.239,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.834,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,22.049,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,21.932,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,22.028,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,22.193,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,22.233,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,22.18,
CHX,0,CHX,exp19-24,rpl32,21.871,
CHX,0,CHX,exp19-24,rpl32,22.355,
CHX,0,CHX,exp19-24,rpl32,21.934,
CHX,0,CHX,exp19-24,rpl32,22.042,
CHX,0,CHX,exp19-24,rpl32,22.032,
CHX,0,CHX,exp19-24,rpl32,22.06,
