ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,29.097,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.596,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.273,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.673,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.52,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.251,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.242,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.521,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.19,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.409,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.393,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.317,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.586,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.574,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.915,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.652,CT
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-26,cf2223,28.556,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,28.368,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,28.441,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,0,undetermined
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,33.468,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,28.629,CT
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-26,cf2223,28.488,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,26.273,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,26.287,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,19.981,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,19.02,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,28.739,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-26,cf2223,28.834,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.834,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.72,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.496,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.63,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.462,CT
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-26,cf2223,28.74,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,28.989,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,28.869,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,28.837,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,28.438,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,27.573,CT
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-26,cf2223,27.373,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,29.636,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,29.438,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,29.096,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,29.334,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,29.027,CT
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-26,cf2223,30.015,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,29.261,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,29.327,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,28.851,CT
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-26,cf2223,28.707,CT
