ASO,Dose,treatment,Sample Name,Target Name,CT
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,32.532
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,cf2223,31.735
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,32.800
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,32.058
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,31.335
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,31.240
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,34.351
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,cf2223,31.666
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,32.039
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,32.658
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,31.859
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,31.846
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,32.498
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,cf2223,32.571
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,32.545
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,31.861
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,33.098
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,32.421
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,31.441
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,cf2223,32.148
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,32.427
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,34.516
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,30.921
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,30.944
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,31.612
478-494 + 526,120 nM (60pmol),120 nM (60 pmol) 478-494 + 526,exp19-24,cf2223,31.179
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,32.159
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,31.445
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,31.930
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,31.921
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,32.554
478-494 ,120 nM (60pmol),120 nM (60 pmol) 478-494 ,exp19-24,cf2223,32.099
NT,0,NT,exp19-24,rpl32,21.989
NT,0,NT,exp19-24,rpl32,22.052
NT,0,NT,exp19-24,rpl32,22.022
NT,0,NT,exp19-24,rpl32,22.061
NT,0,NT,exp19-24,rpl32,21.884
NT,0,NT,exp19-24,rpl32,21.994
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.376
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.374
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.212
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.283
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.140
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,rpl32,22.071
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,21.990
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,22.002
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,22.091
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,22.207
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,22.085
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,rpl32,22.156
CHX,0,CHX,exp19-24,rpl32,21.830
CHX,0,CHX,exp19-24,rpl32,21.912
CHX,0,CHX,exp19-24,rpl32,21.868
CHX,0,CHX,exp19-24,rpl32,22.040
CHX,0,CHX,exp19-24,rpl32,22.316
CHX,0,CHX,exp19-24,rpl32,22.387
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,22.504
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,22.538
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,22.379
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,22.326
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,22.576
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,rpl32,22.526
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,22.474
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,22.509
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,22.114
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,22.260
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,22.316
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,rpl32,22.344
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,22.041
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,22.192
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,22.680
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,22.767
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,22.861
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,rpl32,22.848
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,22.969
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,22.952
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,22.845
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,22.894
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,22.533
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,rpl32,22.786
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,22.247
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,22.397
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,22.404
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,22.357
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,22.269
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,rpl32,22.410
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,22.413
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,22.405
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,22.394
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,22.411
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,22.005
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,rpl32,22.057
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,22.599
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,22.535
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,22.336
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,22.326
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,22.220
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-24,rpl32,22.292
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,22.283
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,22.463
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,22.366
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,22.382
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,22.513
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-24,rpl32,22.683
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,21.906
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,22.080
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,22.183
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,22.074
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,22.619
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-24,rpl32,22.741
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,22.325
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,22.415
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,22.568
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,22.588
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,22.888
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-24,rpl32,22.915
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,22.582
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,22.706
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,23.807
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,24.154
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,23.119
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-24,rpl32,23.034
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,23.100
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,23.037
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,23.467
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,23.054
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,22.905
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-24,rpl32,22.687
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,22.475
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,22.393
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,22.503
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,22.571
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,22.493
478-494 + 520,120 nM (60pmol),120 nM (60 pmol) 478-494 + 520,exp19-24,rpl32,22.543
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,22.319
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,22.459
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,22.266
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,22.278
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,22.514
478-494 + 521,120 nM (60pmol),120 nM (60 pmol) 478-494 + 521,exp19-24,rpl32,22.493
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,22.241
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,22.289
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,22.504
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,22.516
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,22.278
478-494 + 522,120 nM (60pmol),120 nM (60 pmol) 478-494 + 522,exp19-24,rpl32,22.367
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,22.399
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,22.482
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,22.358
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,22.645
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,22.068
478-494 + 523,120 nM (60pmol),120 nM (60 pmol) 478-494 + 523,exp19-24,rpl32,22.041
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,22.701
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,22.761
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,22.497
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,22.592
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,22.355
478-494 + 524,120 nM (60pmol),120 nM (60 pmol) 478-494 + 524,exp19-24,rpl32,22.649
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,rpl32,22.634
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,rpl32,22.729
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,rpl32,22.599
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,rpl32,22.660
478-494 + 525,120 nM (60pmol),120 nM (60 pmol) 478-494 + 525,exp19-24,rpl32,22.444
